3,4,5,6,-99,-99,-99,-99,-99,-99,-99,-99,1,2,-99,-99,-99,-99,-99,-99
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,99,-99,-99,-99,-99,-99,-99,-99,-99,-99
-99,-99,-99,-99,8,9,10,11,-99,-99,-99,-99,-99,-99,7,-99,-99,-99,-99,-99
-99,12,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
-99,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-99,-99,-99,-99,-99,-99,-99,-99,-99
-99,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-99,-99,-99,-99,-99,-99,-99,-99,-99
-99,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-99,-99,-99,-99,-99,-99,-99,-99,-99
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-1,-99,-99,-99,-99,-99,-99,-99,-99,-99
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-6,-99,-99,-99,-99,-99,-99,-99,-99,-99
3,4,5,6,-99,-99,-99,-99,-99,-99,-99,-99,-99,14,-99,13,-99,-99,-99,-99
-99,-99,-99,-99,-99,-99,-99,-99,16,-99,-99,-99,-99,-99,-99,-99,15,-99,-99,-99
-99,19,20,21,-99,-99,-99,-99,-99,22,-13,-99,-99,-99,-99,-99,-99,17,-99,18
-99,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-99,-99,-99,-99,-99,-99,-99,-99,-99
-99,19,20,21,-99,-99,-99,-99,-99,22,-13,-99,-99,-99,-99,-99,-99,23,-99,18
-99,-18,-18,-18,-99,-99,-99,-99,25,-18,-18,-99,-99,-99,-99,-99,-99,-99,24,-99
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-8,-99,-99,-99,-99,-99,-99,-99,-99,-99
3,4,5,6,-99,-99,-99,-99,-99,-99,-99,-99,-99,14,-99,26,-99,-99,-99,-99
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-9,-99,-99,-99,-99,-99,-99,-99,-99,-99
-99,-18,-18,-18,-99,-99,-99,-99,25,-18,-18,-99,-99,-99,-99,-99,-99,-99,27,-99
-99,-18,-18,-18,-99,-99,-99,-99,25,-18,-18,-99,-99,-99,-99,-99,-99,-99,28,-99
-99,-18,-18,-18,-99,-99,-99,-99,25,-18,-18,-99,-99,-99,-99,-99,-99,-99,29,-99
-99,-18,-18,-18,-99,-99,-99,-99,25,-18,-18,-99,-99,-99,-99,-99,-99,-99,30,-99
-99,-99,-99,-99,-99,-99,-99,-99,-21,22,-21,-99,-99,-99,-99,-99,-99,-99,-99,31
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-7,-99,-99,-99,-99,-99,-99,-99,-99,-99
-99,-11,-11,-11,-99,-99,-99,-99,-99,-11,-11,-99,-99,-99,-99,-99,-99,-99,-99,-99
3,4,5,6,-99,-99,-99,-99,-99,-99,-99,-99,-99,32,-99,-99,-99,-99,-99,-99
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-12,-99,-99,-99,-99,-99,-99,-99,-99,-99
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-14,-99,-99,-99,-99,-99,-99,-99,-99,-99
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-15,-99,-99,-99,-99,-99,-99,-99,-99,-99
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-16,-99,-99,-99,-99,-99,-99,-99,-99,-99
-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-17,-99,-99,-99,-99,-99,-99,-99,-99,-99
-99,-99,-99,-99,-99,-99,-99,-99,-20,-99,-20,-99,-99,-99,-99,-99,-99,-99,-99,-99
-99,-19,-19,-19,-99,-99,-99,-99,-99,-19,-19,-99,-99,-99,-99,-99,-99,-99,-99,-99
